type_id,starttime,stoptime,tripduration,start_lat,start_lon,end_lat,end_lon
28,2017-01-03 05:59:00,2017-01-03 06:00:00,60,-1.2554,36.878468,-1.255571,36.878086
107D,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.147565,36.959228,-1.151888,36.92953
145D,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.164449,36.955839,-1.160659,36.943904
145D,2017-01-03 06:00:00,2017-01-03 06:04:00,240,-1.147707,36.959362,-1.151878,36.928673
53,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.233597,36.872552,-1.226942,36.871015
126N,2017-01-03 06:00:00,2017-01-03 06:02:00,120,-1.360832,36.655943,-1.36294,36.656181
53,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.211112,36.874403,-1.214869,36.876151
24,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.286043,36.826165,-1.292001,36.822352
24,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.322047,36.707888,-1.318646,36.715664
100A,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.274465,36.823897,-1.266785,36.834315
126N,2017-01-03 06:00:00,2017-01-03 06:02:00,120,-1.428211,36.686707,-1.41134,36.687828
12C,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.321518,36.828972,-1.320531,36.829166
29/30,2017-01-03 06:00:00,2017-01-03 06:02:00,120,-1.252119,36.867298,-1.251848,36.860455
100A,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.17037,36.830528,-1.17498,36.83448
12D,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.327429,36.839051,-1.327292,36.83785
121,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.285092,36.831509,-1.266785,36.834315
12D,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.287224293,36.82890773,-1.305844,36.827054
33IMR,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.3252,36.880808,-1.330225,36.870702
33IMR,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.284306,36.826257,-1.305844,36.827054
121,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.151558,36.805577,-1.166765,36.825138
48A,2017-01-03 06:00:00,2017-01-03 06:02:00,120,-1.280216,36.769194,-1.278324,36.770258
33MKR,2017-01-03 06:00:00,2017-01-03 06:02:00,120,-1.324799,36.888658,-1.32504,36.881211
120,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.056368,36.77893,-1.064306,36.783481
33MKR,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.287224293,36.82890773,-1.305844,36.827054
48A,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.282757,36.825048,-1.273041,36.809574
12C,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.287224293,36.82890773,-1.305844,36.827054
29/30,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.274465,36.823897,-1.271651387,36.82829618
6,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.272230744,36.84896529,-1.271511912,36.84886873
1,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.287717819,36.68631077,-1.29428,36.683553
16,2017-01-03 06:00:00,2017-01-03 06:03:00,180,-1.287224293,36.82890773,-1.305527687,36.82567835
15,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.321824789,36.77448034,-1.323101521,36.77674413
49,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.228822,36.919711,-1.227583,36.917981
102,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.290475,36.82801,-1.296463,36.808161
15,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.287181377,36.82947636,-1.305527687,36.82567835
43,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.287057996,36.82931006,-1.285344,36.832273
43,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.233753,36.884501,-1.235088,36.873169
125,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.396594048,36.74958944,-1.396979,36.753322
125,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.290352,36.828268,-1.305527687,36.82567835
42,2017-01-03 06:00:00,2017-01-03 06:02:00,120,-1.245059,36.90846,-1.249049,36.90123
102,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.24654,36.664933,-1.25089,36.664915
126RK,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.429533,36.685794,-1.42973,36.687204
25A,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.282685995,36.82453573,-1.274601,36.824122
126RK,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.396551132,36.74982548,-1.396517,36.746185
126,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.42973,36.687204,-1.426975,36.691508
25A,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.239762,36.897502,-1.240081787,36.89640284
4W,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.290475,36.82801,-1.291826963,36.82303369
4W,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.290562,36.728944,-1.290511,36.730253
25,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.282984,36.824313,-1.281538,36.822435
1,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.320582,36.705787,-1.313178,36.699728
126,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.290352,36.828268,-1.293388009,36.82096303
25,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.244217,36.887409,-1.244459152,36.88500881
2030,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.245364,36.867826,-1.247043,36.873225
2030,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.262199,36.879016,-1.256525,36.878807
6,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.281766,36.82276,-1.274601,36.824122
33UTW,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.286566,36.982478,-1.289385,36.97466
33UTW,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.285315,36.825615,-1.305844,36.827054
120,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.285092,36.831509,-1.279431,36.833293
145B,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.147565,36.959228,-1.16419816,36.95762157
48B,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.282757,36.825048,-1.273041,36.809574
111,2017-01-03 06:00:00,2017-01-03 06:02:00,120,-1.360429,36.656037,-1.358294,36.656557
110ATH,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.45773,36.978475,-1.456165,36.979733
107,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.28303,36.82475,-1.27585,36.82299
5,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.285684705,36.82488441,-1.285979748,36.81894064
110ATH,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.289218,36.828251,-1.305844,36.827054
48K,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.287475,36.748821,-1.289355,36.754621
5,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.305045,36.772291,-1.304417,36.77103
110AK,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.477218,36.958032,-1.467201,36.961268
107,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.19437,36.73198,-1.194505692,36.73557758
110AK,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.444158,36.989459,-1.445241451,36.98809147
23W,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.262242,36.803652,-1.261816,36.803729
46Y,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.292341,36.787597,-1.293187,36.791745
46Y,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.285684705,36.82488441,-1.285979748,36.81894064
7C,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.300866008,36.80844784,-1.294957,36.810238
106,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.281428,36.822532,-1.27585,36.82299
7C,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.285684705,36.82488441,-1.285979748,36.81894064
46K,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.283934,36.742585,-1.286322,36.745633
46K,2017-01-03 06:00:00,2017-01-03 06:02:00,120,-1.285684705,36.82488441,-1.285979748,36.81894064
106,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.17786,36.760345,-1.179095,36.760938
56,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.278535,36.75095,-1.280916,36.751862
11B,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.28303,36.82475,-1.27585,36.82299
56,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.290475,36.82801,-1.28867805,36.81337774
3U/3,2017-01-03 06:00:00,2017-01-03 06:02:00,120,-1.261392,36.71691,-1.26445,36.721303
48K,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.2628,36.80031,-1.26132,36.79749
23W,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.281633,36.822361,-1.275505,36.822854
45K,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.188737,36.931451,-1.191558,36.928653
110,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.289218,36.828251,-1.305844,36.827054
145B,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.264119,36.983196,-1.242568,36.989322
100,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.285092,36.831509,-1.27023,36.83564
33H,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.264211,36.982824,-1.278878,36.96793
33H,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.332048541,36.88761515,-1.328278,36.892562
100,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.16812,36.82668,-1.17334,36.82705
48O,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.282757,36.825048,-1.273041,36.809574
237,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.284149,36.827805,-1.266785,36.834315
33TP,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.283947,36.826437,-1.305844,36.827054
33FED,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.308323,36.911462,-1.309972,36.913061
33FED,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.283947,36.826437,-1.305844,36.827054
237,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.035427,37.076427,-1.067962,37.05124
33B,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.298156,36.912689,-1.300695,36.914742
145,2017-01-03 06:00:00,2017-01-03 06:02:00,120,-1.285212,36.828894,-1.279431,36.833293
48B,2017-01-03 06:00:00,2017-01-03 06:03:00,180,-1.288635,36.77301,-1.28422,36.778875
33B,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.284137,36.826244,-1.30579,36.827136
145,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.147565,36.959228,-1.15055083,36.96215482
45P,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.205374,36.918576,-1.208181,36.922337
45P,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.209074,36.928213,-1.208219,36.922329
33J,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.286566,36.982478,-1.287605882,36.97961569
45G,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.285212,36.828894,-1.279431,36.833293
33J,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.332048541,36.88761515,-1.328278,36.892562
45G,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.204341,36.916884,-1.220318,36.891129
110,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.47715,36.957852,-1.468748,36.96082
45K,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.28264308,36.8244338,-1.274601,36.824122
111,2017-01-03 06:00:00,2017-01-03 06:02:00,120,-1.290475,36.82801,-1.296463,36.808161
118,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.280852,36.822802,-1.276903152,36.82046413
49,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.282729,36.824669,-1.274601,36.824122
14B,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.287347674,36.82907403,-1.305527687,36.82567835
14B,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.312957406,36.81669295,-1.311299801,36.81684852
28,2017-01-03 06:00:00,2017-01-03 06:02:00,120,-1.284126,36.840649,-1.284349,36.84316
28,2017-01-03 06:00:00,2017-01-03 06:04:00,240,-1.255571,36.878086,-1.260655,36.874143
115,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.108561,36.643231,-1.117782,36.631331
34J,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.285325289,36.82573199,-1.29237,36.84373
14,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.284054,36.831179,-1.279431,36.833293
14,2017-01-03 06:00:00,2017-01-03 06:02:00,120,-1.255291,36.878737,-1.260655,36.874143
33C,2017-01-03 06:00:00,2017-01-03 06:02:00,120,-1.330018,36.890475,-1.328658,36.892363
3738,2017-01-03 06:00:00,2017-01-03 06:05:00,300,-1.262052,36.881838,-1.261797,36.88445
135,2017-01-03 06:00:00,2017-01-03 06:02:00,120,-1.108561,36.643231,-1.117782,36.631331
